Item,Element,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Pimento,Protein supply quantity (g/capita/day),g/cap/d,0.3,0.1,0.22,0.21,0.22,0.22,0.2,0.2,0.21,0.14,0.2,0.15,0.19,0.14
Pineapples and products,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plantains,Protein supply quantity (g/capita/day),g/cap/d,,,,,,,,0.0,,,,,,
Potatoes and products,Protein supply quantity (g/capita/day),g/cap/d,0.55,0.56,0.55,0.59,0.53,0.61,0.62,0.58,0.64,0.68,0.68,0.87,1.08,1.14
Poultry Meat,Protein supply quantity (g/capita/day),g/cap/d,1.61,1.7,1.82,1.95,2.08,2.24,2.41,2.58,2.77,2.97,3.18,3.4,3.67,3.93
"Pulses, Other and products",Protein supply quantity (g/capita/day),g/cap/d,2.65,2.8,1.98,2.57,1.86,1.86,1.73,2.61,2.41,2.51,2.39,1.37,2.11,2.67
Rape and Mustard Oil,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rape and Mustardseed,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rice and products,Protein supply quantity (g/capita/day),g/cap/d,1.8,4.8,2.6,4.54,3.64,5.24,2.84,3.44,2.47,1.03,1.68,2.15,1.95,1.39
Ricebran Oil,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
